,Entity,Regional Indicator,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
2024,Georgia,Asia,2004,11.3769849919901
2025,Georgia,Asia,2005,11.3441275304366
2026,Georgia,Asia,2006,11.30210712848235
2027,Georgia,Asia,2007,11.243130211000253
2028,Georgia,Asia,2008,11.18268049869542
2029,Georgia,Asia,2009,11.12747000556479
2030,Georgia,Asia,2010,11.0928258923628
2031,Georgia,Asia,2011,11.06762935424892
2032,Georgia,Asia,2012,11.05221979583322
2033,Georgia,Asia,2013,11.04020696432667
2034,Georgia,Asia,2014,11.0279180761053
2035,Georgia,Asia,2015,11.0169171427855
2036,Georgia,Asia,2016,11.00345930116116
2037,Georgia,Asia,2017,10.99425629670756
2038,Georgia,Asia,2018,11.00910960572924
2039,Georgia,Asia,2019,11.05533740597836
2460,India,Asia,1990,14.28723053985847
2461,India,Asia,1991,14.39425080262916
2462,India,Asia,1992,14.481834135106489
2463,India,Asia,1993,14.54560471862101
2464,India,Asia,1994,14.58039724148677
2465,India,Asia,1995,14.5785722851882
2466,India,Asia,1996,14.52871169198047
2467,India,Asia,1997,14.43921587266642
2468,India,Asia,1998,14.339363673488508
2469,India,Asia,1999,14.25671905261014
2470,India,Asia,2000,14.22137368992303
2471,India,Asia,2001,14.23717281029672
2472,India,Asia,2002,14.27971744725734
2473,India,Asia,2003,14.33207922202731
2474,India,Asia,2004,14.37666351586235
2475,India,Asia,2005,14.397147259876562
2476,India,Asia,2006,14.350862121892671
2477,India,Asia,2007,14.23815287911762
2478,India,Asia,2008,14.1012527933108
2479,India,Asia,2009,13.98402626131014
2480,India,Asia,2010,13.93041740962852
2481,India,Asia,2011,13.930073762467073
2482,India,Asia,2012,13.93719548596917
2483,India,Asia,2013,13.94570918199998
2484,India,Asia,2014,13.94910262293706
2485,India,Asia,2015,13.94046941018506
2486,India,Asia,2016,13.91996118922335
2487,India,Asia,2017,13.89493300320343
2488,India,Asia,2018,13.835812080244
2489,India,Asia,2019,13.73323744336348
2490,Indonesia,Asia,1990,11.03497732734695
2491,Indonesia,Asia,1991,10.9915639964046
2492,Indonesia,Asia,1992,10.95384235109482
2493,Indonesia,Asia,1993,10.92022663717576
2494,Indonesia,Asia,1994,10.89309403476906
2495,Indonesia,Asia,1995,10.871888608926367
2496,Indonesia,Asia,1996,10.85798368875173
2497,Indonesia,Asia,1997,10.85083182906622
2498,Indonesia,Asia,1998,10.84706817340754
2499,Indonesia,Asia,1999,10.847738324948333
2500,Indonesia,Asia,2000,10.84908513170727
2501,Indonesia,Asia,2001,10.86021011130433
2502,Indonesia,Asia,2002,10.88284855541168
2503,Indonesia,Asia,2003,10.91001950793439
2504,Indonesia,Asia,2004,10.93317782189934
2505,Indonesia,Asia,2005,10.93879991590113
2506,Indonesia,Asia,2006,10.92167480701328
2507,Indonesia,Asia,2007,10.88544934425395
2508,Indonesia,Asia,2008,10.84214016565718
2509,Indonesia,Asia,2009,10.79986216732703
2510,Indonesia,Asia,2010,10.76657671401969
2511,Indonesia,Asia,2011,10.74440140797375
2512,Indonesia,Asia,2012,10.72771263956531
2513,Indonesia,Asia,2013,10.71374051505506
2514,Indonesia,Asia,2014,10.69899602530966
2515,Indonesia,Asia,2015,10.68618555270392
2516,Indonesia,Asia,2016,10.66419602203929
2517,Indonesia,Asia,2017,10.64352284700025
2518,Indonesia,Asia,2018,10.64726454692025
2519,Indonesia,Asia,2019,10.67598500791958
2520,Iran,Asia,1990,19.11162975123851
2521,Iran,Asia,1991,19.03420033949528
2522,Iran,Asia,1992,18.96336995707149
2523,Iran,Asia,1993,18.89922470019714
2524,Iran,Asia,1994,18.846885896099643
2525,Iran,Asia,1995,18.81098208956959
2526,Iran,Asia,1996,18.81075287203047
2527,Iran,Asia,1997,18.8450428393303
2528,Iran,Asia,1998,18.89361575204323
2529,Iran,Asia,1999,18.932243394491792
2530,Iran,Asia,2000,18.94028097628734
2531,Iran,Asia,2001,18.91960919085712
2532,Iran,Asia,2002,18.89006434895533
2533,Iran,Asia,2003,18.8583129825602
2534,Iran,Asia,2004,18.83109638626265
2535,Iran,Asia,2005,18.8179567287938
2536,Iran,Asia,2006,18.84718301930572
2537,Iran,Asia,2007,18.926333035398528
2538,Iran,Asia,2008,19.02541897269216
2539,Iran,Asia,2009,19.11237272008766
2540,Iran,Asia,2010,19.16026266751452
2541,Iran,Asia,2011,19.190817130107497
2542,Iran,Asia,2012,19.24001577273551
2543,Iran,Asia,2013,19.29297964873501
2544,Iran,Asia,2014,19.33596444469747
2545,Iran,Asia,2015,19.35466854644239
2546,Iran,Asia,2016,19.24137255144715
2547,Iran,Asia,2017,19.11109596905941
2548,Iran,Asia,2018,19.02759788875312
2549,Iran,Asia,2019,18.88764639244908
2550,Iraq,Asia,1990,14.6547347035173
2551,Iraq,Asia,1991,14.79710414362844
2552,Iraq,Asia,1992,14.9200107198079
2553,Iraq,Asia,1993,15.024495391440452
2554,Iraq,Asia,1994,15.095666781562311
2555,Iraq,Asia,1995,15.1221220080271
2556,Iraq,Asia,1996,15.08581177114589
2557,Iraq,Asia,1997,14.99862070869039
2558,Iraq,Asia,1998,14.89432375559512
2559,Iraq,Asia,1999,14.8066380937354
2560,Iraq,Asia,2000,14.766441918739789
2561,Iraq,Asia,2001,14.744456168937653
2562,Iraq,Asia,2002,14.69984193543469
2563,Iraq,Asia,2003,14.6427114544754
2564,Iraq,Asia,2004,14.58995553904261
2565,Iraq,Asia,2005,14.56475718440171
2566,Iraq,Asia,2006,14.557550347074718
2567,Iraq,Asia,2007,14.54739226534082
2568,Iraq,Asia,2008,14.53882247942096
2569,Iraq,Asia,2009,14.53027947269604
2570,Iraq,Asia,2010,14.51966017471503
2571,Iraq,Asia,2011,14.56813091028614
2572,Iraq,Asia,2012,14.69977721706174
2573,Iraq,Asia,2013,14.85730690789365
2574,Iraq,Asia,2014,14.98523891887479
2575,Iraq,Asia,2015,15.026242288437947
2576,Iraq,Asia,2016,14.98387647464609
2577,Iraq,Asia,2017,14.93905446504981
2578,Iraq,Asia,2018,14.92266813516939
2579,Iraq,Asia,2019,14.91283072781156
2610,Israel,Asia,1990,14.6585107327217
2611,Israel,Asia,1991,14.75675084924126
2612,Israel,Asia,1992,14.84446404472036
2613,Israel,Asia,1993,14.91295098448806
2614,Israel,Asia,1994,14.960368865780447
2615,Israel,Asia,1995,14.982488749752353
2616,Israel,Asia,1996,14.93336538472293
2617,Israel,Asia,1997,14.815704485662
2618,Israel,Asia,1998,14.66753207688166
2619,Israel,Asia,1999,14.53937066228982
2620,Israel,Asia,2000,14.47844392005703
2621,Israel,Asia,2001,14.46480119591359
2622,Israel,Asia,2002,14.433575525421
2623,Israel,Asia,2003,14.40677175148028
2624,Israel,Asia,2004,14.378865654389749
2625,Israel,Asia,2005,14.36155210063638
2626,Israel,Asia,2006,14.41463740317104
2627,Israel,Asia,2007,14.55079994620628
2628,Israel,Asia,2008,14.70932585834303
2629,Israel,Asia,2009,14.83574105291578
2630,Israel,Asia,2010,14.87465643467293
2631,Israel,Asia,2011,14.82415249312376
2632,Israel,Asia,2012,14.72406989219042
2633,Israel,Asia,2013,14.61597212517652
2634,Israel,Asia,2014,14.52241651026136
2635,Israel,Asia,2015,14.46972007345221
2636,Israel,Asia,2016,14.46565072601111
2637,Israel,Asia,2017,14.470370253573432
2638,Israel,Asia,2018,14.4722576389101
2639,Israel,Asia,2019,14.48335929831232
2700,Japan,Asia,1990,10.74640340883657
2701,Japan,Asia,1991,10.70994295996974
2702,Japan,Asia,1992,10.68571631807677
2703,Japan,Asia,1993,10.6730335869367
2704,Japan,Asia,1994,10.66886598215468
2705,Japan,Asia,1995,10.67040851589845
2706,Japan,Asia,1996,10.69117009344977
2707,Japan,Asia,1997,10.73735007948861
2708,Japan,Asia,1998,10.7946665078798
2709,Japan,Asia,1999,10.85042895445588
2710,Japan,Asia,2000,10.88966338191017
2711,Japan,Asia,2001,10.92085186232737
2712,Japan,Asia,2002,10.95699059798658
2713,Japan,Asia,2003,10.99219263307004
2714,Japan,Asia,2004,11.01920068569735
2715,Japan,Asia,2005,11.032844031489027
2716,Japan,Asia,2006,11.009878898701771
2717,Japan,Asia,2007,10.94667113181298
2718,Japan,Asia,2008,10.86665483984139
2719,Japan,Asia,2009,10.7934419803376
2720,Japan,Asia,2010,10.74919115816082
2721,Japan,Asia,2011,10.72456201951046
2722,Japan,Asia,2012,10.69725844494188
2723,Japan,Asia,2013,10.67108925441435
2724,Japan,Asia,2014,10.65019749610303
2725,Japan,Asia,2015,10.63761004793776
2726,Japan,Asia,2016,10.63112079100462
2727,Japan,Asia,2017,10.62721248171778
2728,Japan,Asia,2018,10.60942316213795
2729,Japan,Asia,2019,10.5753039422184
2730,Jordan,Asia,1990,15.54997013920342
2731,Jordan,Asia,1991,15.583806973405473
2732,Jordan,Asia,1992,15.61725302013901
2733,Jordan,Asia,1993,15.63841527593817
2734,Jordan,Asia,1994,15.660239018743049
2735,Jordan,Asia,1995,15.67140037692519
2736,Jordan,Asia,1996,15.670071756561647
2737,Jordan,Asia,1997,15.66842753834225
2738,Jordan,Asia,1998,15.6586440310042
2739,Jordan,Asia,1999,15.65167844482665
2740,Jordan,Asia,2000,15.63908140397746
2741,Jordan,Asia,2001,15.62470484524441
2742,Jordan,Asia,2002,15.593263823768169
2743,Jordan,Asia,2003,15.556918334305688
2744,Jordan,Asia,2004,15.51222625710859
2745,Jordan,Asia,2005,15.459840429570551
2746,Jordan,Asia,2006,15.39140555435842
2747,Jordan,Asia,2007,15.3012901358707
2748,Jordan,Asia,2008,15.19841712352844
2749,Jordan,Asia,2009,15.11217936687592
2750,Jordan,Asia,2010,15.060693821855638
2751,Jordan,Asia,2011,15.04318754080813
2752,Jordan,Asia,2012,15.025530640900358
2753,Jordan,Asia,2013,15.018165954661969
2754,Jordan,Asia,2014,15.0110943468012
2755,Jordan,Asia,2015,15.0005967076751
2756,Jordan,Asia,2016,14.96686876880001
2757,Jordan,Asia,2017,14.935284792695269
2758,Jordan,Asia,2018,14.96521978020204
2759,Jordan,Asia,2019,15.04172705658989
2760,Kazakhstan,Asia,1990,10.67432731453831
2761,Kazakhstan,Asia,1991,10.68043086159924
2762,Kazakhstan,Asia,1992,10.68598688875509
2763,Kazakhstan,Asia,1993,10.69658707247492
2764,Kazakhstan,Asia,1994,10.71427734134738
2765,Kazakhstan,Asia,1995,10.73478928375092
2766,Kazakhstan,Asia,1996,10.76866812913114
2767,Kazakhstan,Asia,1997,10.8211092619351
2768,Kazakhstan,Asia,1998,10.88002102447708
2769,Kazakhstan,Asia,1999,10.930453643811273
2770,Kazakhstan,Asia,2000,10.957685010218722
2771,Kazakhstan,Asia,2001,10.95546179780992
2772,Kazakhstan,Asia,2002,10.93456916382818
2773,Kazakhstan,Asia,2003,10.90426498445983
2774,Kazakhstan,Asia,2004,10.87090763998783
2775,Kazakhstan,Asia,2005,10.83959889463636
2776,Kazakhstan,Asia,2006,10.80610301388986
2777,Kazakhstan,Asia,2007,10.76837157401774
2778,Kazakhstan,Asia,2008,10.72392780410076
2779,Kazakhstan,Asia,2009,10.68295003610647
2780,Kazakhstan,Asia,2010,10.654710053040048
2781,Kazakhstan,Asia,2011,10.63872549693091
2782,Kazakhstan,Asia,2012,10.63537018075604
2783,Kazakhstan,Asia,2013,10.63574410354382
2784,Kazakhstan,Asia,2014,10.63813571423684
2785,Kazakhstan,Asia,2015,10.63822591728256
2786,Kazakhstan,Asia,2016,10.63320333756288
2787,Kazakhstan,Asia,2017,10.628280137652087
2788,Kazakhstan,Asia,2018,10.62162145914292
2789,Kazakhstan,Asia,2019,10.61268963894921
2850,Kuwait,Asia,1990,13.71613876334672
2851,Kuwait,Asia,1991,13.70114394616303
2852,Kuwait,Asia,1992,13.6897302917863
2853,Kuwait,Asia,1993,13.68567373037724
2854,Kuwait,Asia,1994,13.67797670337182
2855,Kuwait,Asia,1995,13.67107974663126
2856,Kuwait,Asia,1996,13.66654289315174
2857,Kuwait,Asia,1997,13.67499946656833
2858,Kuwait,Asia,1998,13.69369130085866
2859,Kuwait,Asia,1999,13.70521604873991
2860,Kuwait,Asia,2000,13.71423955587279
2861,Kuwait,Asia,2001,13.71828619261199
2862,Kuwait,Asia,2002,13.72709428860223
2863,Kuwait,Asia,2003,13.73267257419411
2864,Kuwait,Asia,2004,13.74084050706997
2865,Kuwait,Asia,2005,13.74677392695269
2866,Kuwait,Asia,2006,13.747161809669713
2867,Kuwait,Asia,2007,13.73730893096218
2868,Kuwait,Asia,2008,13.72949056553601
2869,Kuwait,Asia,2009,13.72307677293532
2870,Kuwait,Asia,2010,13.73334688228051
2871,Kuwait,Asia,2011,13.7668826440972
2872,Kuwait,Asia,2012,13.80800063086833
2873,Kuwait,Asia,2013,13.85721255274523
2874,Kuwait,Asia,2014,13.89828238956286
2875,Kuwait,Asia,2015,13.92963484349307
2876,Kuwait,Asia,2016,13.94027264551691
2877,Kuwait,Asia,2017,13.94512903904365
2878,Kuwait,Asia,2018,13.9849322477558
2879,Kuwait,Asia,2019,14.0464044450954
2880,Kyrgyzstan,Asia,1990,11.267471926956569
